epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
66,1961.06,0.77317,0.69094,0.97548,1.41561,0.000761488,0.000761488,0.000761488
67,1977.68,0.77564,0.68914,0.97575,1.37606,0.000754766,0.000754766,0.000754766
68,2003.31,0.77154,0.68205,0.96756,1.51472,0.000747982,0.000747982,0.000747982
69,2059.91,0.76156,0.68088,0.96976,1.46989,0.000741136,0.000741136,0.000741136
70,2095.58,0.76011,0.68301,0.97141,1.49094,0.000734231,0.000734231,0.000734231
71,2114.33,0.76595,0.67523,0.96949,1.49619,0.000727268,0.000727268,0.000727268
72,2167.79,0.75885,0.68481,0.96818,1.52967,0.00072025,0.00072025,0.00072025
73,2202.86,0.75551,0.68611,0.96384,1.59149,0.000713177,0.000713177,0.000713177
74,2223.31,0.75375,0.68074,0.97555,1.39093,0.000706051,0.000706051,0.000706051
75,2277.22,0.7592,0.68673,0.96322,1.56998,0.000698875,0.000698875,0.000698875
76,2312.78,0.74808,0.69066,0.9677,1.52482,0.00069165,0.00069165,0.00069165
77,2338.89,0.74415,0.67895,0.9719,1.49458,0.000684378,0.000684378,0.000684378
78,2390.17,0.74805,0.68453,0.96611,1.55533,0.000677061,0.000677061,0.000677061
79,2426.73,0.7304,0.68866,0.9628,1.57819,0.0006697,0.0006697,0.0006697
80,2443.65,0.73369,0.69066,0.97038,1.48798,0.000662297,0.000662297,0.000662297
81,2479.38,0.72642,0.68942,0.9659,1.60197,0.000654854,0.000654854,0.000654854
82,2494.59,0.7244,0.68866,0.96267,1.60813,0.000647373,0.000647373,0.000647373
83,2515.96,0.72366,0.68949,0.96494,1.58853,0.000639856,0.000639856,0.000639856
84,2566.19,0.71619,0.68536,0.96184,1.65608,0.000632305,0.000632305,0.000632305
85,2602.22,0.71159,0.69576,0.95984,1.64605,0.000624721,0.000624721,0.000624721
86,2617.8,0.71772,0.69259,0.96115,1.62746,0.000617106,0.000617106,0.000617106
1,13.274,1.75591,0.19832,0.83954,1.86031,0.0805882,0.000196078,0.000196078
2,23.6679,1.69691,0.24597,0.906,1.74728,0.0607878,0.000395688,0.000395688
3,35.2785,1.60453,0.33036,0.92532,1.66224,0.0409859,0.000593731,0.000593731
4,45.2781,1.45795,0.34405,0.89647,2.53354,0.0211812,0.000789035,0.000789035
5,55.4186,1.28701,0.45815,0.9896,1.50654,0.0013726,0.000980447,0.000980447
6,65.5566,1.19083,0.54549,0.96032,1.38553,0.000975553,0.000975553,0.000975553
7,75.616,1.09055,0.54644,0.9948,1.33335,0.000964923,0.000964923,0.000964923
8,85.8002,1.05238,0.57529,0.9721,1.45665,0.000952461,0.000952461,0.000952461
9,95.704,1.01915,0.55666,0.99333,1.41538,0.000938215,0.000938215,0.000938215
10,105.662,0.98252,0.5869,0.99411,1.22584,0.000922242,0.000922242,0.000922242
11,115.658,0.96459,0.6271,0.99593,1.27849,0.000904604,0.000904604,0.000904604
12,125.741,0.9358,0.63516,0.98986,1.24206,0.000885371,0.000885371,0.000885371
13,135.701,0.91639,0.64746,0.97383,1.51546,0.00086462,0.00086462,0.00086462
14,146.078,0.90854,0.59877,0.99662,1.24036,0.000842431,0.000842431,0.000842431
15,155.77,0.87526,0.65075,0.99792,1.11237,0.000818893,0.000818893,0.000818893
16,165.252,0.85821,0.6472,0.99402,1.35352,0.000794099,0.000794099,0.000794099
17,175.427,0.84663,0.65049,0.99342,1.37262,0.000768145,0.000768145,0.000768145
18,185.386,0.83309,0.66903,0.99905,1.29208,0.000741136,0.000741136,0.000741136
19,194.813,0.81054,0.61826,0.99731,1.42188,0.000713177,0.000713177,0.000713177
20,204.312,0.79991,0.66193,0.99723,1.2638,0.000684378,0.000684378,0.000684378
21,213.841,0.78213,0.6881,0.99801,1.43635,0.000654854,0.000654854,0.000654854
22,223.36,0.77871,0.67727,0.99619,1.38421,0.000624721,0.000624721,0.000624721
23,232.87,0.76267,0.70092,0.99662,1.25174,0.000594097,0.000594097,0.000594097
24,242.393,0.76434,0.69546,0.99653,1.15912,0.000563104,0.000563104,0.000563104
25,251.902,0.74413,0.69849,0.99489,1.19644,0.000531864,0.000531864,0.000531864
26,261.417,0.73422,0.69,0.99532,1.40217,0.0005005,0.0005005,0.0005005
27,270.934,0.72857,0.68515,0.99567,1.34137,0.000469136,0.000469136,0.000469136
28,280.469,0.71209,0.70014,0.99714,1.23098,0.000437896,0.000437896,0.000437896
29,289.974,0.70406,0.68766,0.99593,1.32528,0.000406903,0.000406903,0.000406903
30,299.465,0.69924,0.69373,0.99601,1.34982,0.000376279,0.000376279,0.000376279
31,309.051,0.68266,0.71443,0.99359,1.29925,0.000346146,0.000346146,0.000346146
